id,name,party,sector,country
ul,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,BSW,Politik,Deutschland
cs,Constanze Stelzenmüller,keine Partei,Recht,Deutschland
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,keine Partei,Historik,Deutschland
lm,Ljudmyla Melnyk,keine Partei,Wissenschaft,Ukraine
kd,Kristina Dunz,keine Partei,Journalismus,Deutschland
el,Egils Levits,keine Partei,Politik,Lettland
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermans,keine Partei,Politik,Niederlande
am,Andrij Melnyk,keine Partei,Politik,Ukraine
al,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,keine Partei,Bundeswehr,Deutschland
rh,Robert Habeck,Grüne,Politik,Deutschland
cm,Claudia Major,keine Partei,Wissenschaft,Deutschland
kp,Katka Petroskaja,keine Partei,Wissenschaft,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
500,Folge 500,na,na,na
501,Folge 501,na,na,na
502,Folge 502,na,na,na
503,Folge 503,na,na,na
